rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
foodLocal,0.4411764705882353,447.5746604590902,442,1.012612353979842,1.0044895385428694,0.2261906029836535,0.13292762204361963,0.3078947102103797,NA,NA
foodLunchNoMeat,0.8076923076923077,483.83621793563447,442,1.0946520767774535,1.0101544749550122,0.8111715294712685,0.16510501243016523,0.2074309763899815,-2.6961207163393914,0.12876435457987032
foodMeat,0.07239819004524888,293.8682151641491,442,0.6648602153035047,0.9305563247130543,-1.4100396338537682,-0.46283924350357825,0.2985260272940001,1.7171037332703698,0.1841965858361441
foodOatMilk,0.15610859728506787,434.05899328409413,442,0.9820339214572266,0.947687173479452,-0.06614312545379614,-0.6136723211100158,0.2746160856549524,0.796613005747541,0.13576569890220694
foodTofu,0.17873303167420815,392.2781034707776,442,0.8875070214270986,0.95560898104722,-0.7956059947739198,-0.576171501232186,0.3497448487133904,0.619971941329891,0.12946658639168546
foodVegan,0.013574660633484163,349.95282540695763,442,0.7917484737713973,0.8844274944842392,-0.13816855897833083,-0.20955201066192508,0.14493115737872625,3.5007476101505355,0.39809796598852526
homeClothesCold,0.669683257918552,415.6285132290157,442,0.9403360027805785,0.9842831689433135,-0.8144391579125065,-0.3215104118946199,0.30371851207267536,-1.880486635590783,0.11010782976348925
homeClothesHang,0.38009049773755654,461.2233296899034,442,1.0434916961310032,1.0227866594579267,0.6374794230309412,0.5729403874588426,0.26287550237543256,-0.5281081470129011,0.10605370718914889
homeLightsOff,0.9276018099547512,473.0902219620012,442,1.0703398686923105,0.821465889582962,0.37072933899865107,-1.3680790068202167,0.19701221201088576,-3.901740308601929,0.18720938757801636
packCarriedUtensils,0.14479638009049775,368.61977323383974,442,0.8339813874068772,0.9167645168467637,-1.0296598859872665,-0.9470541576653266,0.3212081887512476,0.8923948314460456,0.1395372800176707
packCompost,0.17420814479638008,388.7538159949029,442,0.879533520350459,0.9517537271693081,-0.8393035027877211,-0.616002395336768,0.2735485073479436,0.6538978689135437,0.1306130578532938
packContainerToRestaurant,0.024886877828054297,458.4733163259779,442,1.0372699464388642,0.8728620237128643,0.23417787510072818,-0.4218692876781484,0.14894096094438697,2.873146834842154,0.29820703605108706
packPickedUpLitter,0.41855203619909503,420.7506292789217,442,0.9519245006310445,0.9977120965858965,-0.7455369167579529,-0.04742535565348158,0.3039936151072482,-0.7087226738225134,0.10475065936341181
packPullRecycleFromTrash,0.06787330316742081,275.8343243145339,442,0.6240595572727011,0.850154008864512,-1.556179891992596,-1.0387682516054397,0.31735138312286626,1.7899621548512477,0.1893612983341458
packRags,0.7239819004524887,522.3778081224585,442,1.181850244620947,0.9725810963124989,2.019343997301315,-0.4919334474788743,0.24134329394832021,-2.170706421204144,0.11520715376230294
packReusableMug,0.4457013574660634,412.76324797787527,442,0.9338535022123875,0.9692280108626425,-1.0973049511417081,-0.8267212352963641,0.3530417626417896,-0.8335973053291761,0.10418939348924121
packReusedPaperPlasticBags,0.8438914027149321,453.82479714617585,442,1.026752934719855,0.901545701821806,0.23578692753693373,-1.1989065636632734,0.2525996934826052,-2.974262255317279,0.13849449461425253
purchBuyNothing,0.11764705882352941,365.3552658447086,442,0.8265956240830511,0.9573157549902962,-0.9205999230948329,-0.39241519728215213,0.24133793177387608,1.1492920888831637,0.15098411146640117
socialDocumentary,0.17194570135746606,451.3276471930163,442,1.0211032741923445,0.9577083072870486,0.19410523331653326,-0.5298473315048469,0.2422831414320244,0.6711069541695848,0.13120537301135723
socialGroup,0.029411764705882353,193.30553354968703,442,0.43734283608526475,0.7981811322705509,-1.5586506463783834,-0.833685843175087,0.3270723854751014,2.6975620841616665,0.27579709374830486
socialRead,0.46153846153846156,419.9909242516603,442,0.950205710976607,0.9731492046690728,-0.8368341505221731,-0.7262628195169819,0.3524829025969142,-0.9057985785409257,0.10398943120574644
socialSupportive,0.07918552036199095,316.83065246947314,442,0.7168114309264099,0.8645509757434742,-1.2230077864942972,-1.0328078271535708,0.29762957980613336,1.6151009753843348,0.17733516022767182
waterShowerStop,0.14027149321266968,386.32772746285775,442,0.8740446322689089,0.9310491235725193,-0.7364464500879461,-0.7565045930965167,0.2675670970664597,0.9323559736563098,0.1411879751089568
waterTeethStop,0.77828054298642535,471.67413413631266,442,1.0671360500821554,0.9752725663897005,0.6579777031907861,-0.3653659939544604,0.24622044228468024,-2.496815542915949,0.12292261138462823
