rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
fashFast_r,0.7673160173160173,1257.997147414046,924,1.3614687742576255,1.1473253913242514,5.852369559459765,3.4709497572818226,-0.07876192573448572,NA,NA
fashPutAside_,0.45670995670995673,833.8606905585038,924,0.9024466348035756,0.9187089635446141,-4.257930675542111,-4.16256955382389,0.40419094592278837,NA,NA
fashShoppedSecondHand_,0.1893939393939394,905.4603305809784,924,0.9799354227066865,0.9745493917028265,-0.28122566710719615,-0.487405594361004,0.2806218813869487,NA,NA
foodBeef_r,0.27164502164502163,953.7476675848627,924,1.032194445438163,1.0301798385730834,0.7046937430845237,0.8418736752940195,0.2246975045890966,NA,NA
foodCowMilk_r,0.42424242424242425,1071.9797895779975,924,1.1601512874220752,1.130749100104491,5.967224926822686,5.8437018686433895,0.06701111543118642,NA,NA
foodDinnerNoMeat_,0.696969696969697,838.9053076111541,924,0.9079061770683485,0.92728644089387,-2.2791024847723076,-2.4453501256835963,0.36583447334898617,NA,NA
foodForage_,0.031385281385281384,828.1957784315489,924,0.8963157775233213,0.9514563206318669,-0.42536448952724165,-0.23386508485683025,0.1830117605550479,NA,NA
foodGarden_,0.12012987012987013,796.829843664067,924,0.8623699606753972,0.9413602080905374,-1.4813764569861503,-0.795519311914036,0.29422392613594417,NA,NA
foodLocal_,0.4253246753246753,882.139362761506,924,0.95469628004492,0.9565824789582048,-1.7972168483417275,-2.0486355678579273,0.34395595600779943,NA,NA
foodLunchNoMeat_,0.816017316017316,790.0924411125324,924,0.8550783994724376,0.9205437191753516,-2.180381359662915,-1.5851183458833527,0.31589626164699974,NA,NA
foodMeatEveryDay_r,0.6374458874458875,888.1935359806583,924,0.9612484155634831,0.9656819177467081,-1.1930088735219706,-1.413554768470384,0.3185757727996505,NA,NA
foodMeat_r,0.07792207792207792,786.7719115939901,924,0.8514847528073486,0.9873473514287755,-1.1859666471948986,-0.09666859271111361,0.23236485650168964,NA,NA
foodNonDairyMilk_,0.35064935064935066,912.4927789374506,924,0.9875462975513535,0.9978782825969558,-0.36481021354524085,-0.0699869762061628,0.2850094623358524,NA,NA
foodOatMilk_,0.1461038961038961,855.1809503947356,924,0.9255205090852118,0.9820797780140781,-0.8981327549051618,-0.26525561351356397,0.24502728705758095,NA,NA
foodOrganicVeg_,0.4707792207792208,876.1145905470465,924,0.948175963795505,0.9540523223683566,-2.269475260992903,-2.3716218742069564,0.3513810035747971,NA,NA
foodOwnLunch_,0.47619047619047616,956.9574778630575,924,1.03566826608556,1.033796237489137,1.5384286175340347,1.721060424044315,0.22324745860318757,NA,NA
foodRefrainedDistance_,0.07251082251082251,823.4077723350251,924,0.8911339527435337,0.941943929005966,-0.8039769183097157,-0.541367914658164,0.2349020544567229,NA,NA
