p.fit,p.df,p.outfitMSQ,p.infitMSQ,p.outfitZ,p.infitZ,person,rebl_score,prolificID
74.26026787449845,85,0.8736502102882171,0.970963763632028,-0.2941522197625787,-0.1633915769877502,P334,-1.1756912979135872,1381
64.80597947516671,85,0.7624232879431377,0.9931761105567753,-0.6826979567437023,-0.003933396139328166,P335,1.1759812993022558,1382
76.34929002052347,85,0.8982269414179231,0.9706105124297205,-0.308665760249157,-0.19414520378979366,P336,-0.7263264242271975,1383
82.9647182199888,85,0.9760555084704564,1.0534704959978607,-0.023959047030764374,0.4875126303802108,P337,0.3777159250921498,1384
65.15444292767502,85,0.7665228579726473,0.8476233504482189,-0.7373971765178561,-1.1522923291807574,P338,-1.0214540646105466,1385
84.9510641931991,85,0.9994242846258717,0.9313550061074144,0.08143112126358493,-0.533491761761863,P339,-0.5838035225737501,1386
77.4556182471275,85,0.9112425676132647,0.8674672544567078,-0.30115647792244143,-1.1367293568949028,P340,0.44687115674352923,1387
104.86001206001418,85,1.2336472007060493,1.0321796249912363,1.0157460751155094,0.3122616857255784,P341,0.3089169226852105,1388
80.17870945498599,85,0.943278934764541,0.9993234363363156,-0.04427480027900428,0.04392321252458799,P342,-1.3356996779743975,1389
83.65783690444125,85,0.984209845934603,1.0305673813485465,0.00529067448253942,0.29927345406356204,P343,-0.16843992810624633,1390
86.56004071007638,85,1.0183534201185456,0.9815117995486862,0.15877797345206934,-0.10014980124690606,P344,-0.8719571193538209,1391
77.56982190166352,85,0.9125861400195708,0.9959050780636779,-0.30395938120927024,0.004059095163114666,P345,0.3777159250921498,1392
93.00247552233992,85,1.094146770851058,1.058531044966657,0.47903949788709904,0.5331642641473081,P346,-0.16843992810624633,1393
94.07223452957717,85,1.1067321709362021,1.0067976077373602,0.4589460485100423,0.09552282183660281,P347,-0.8719571193538209,1394
79.47115963050103,85,0.9349548191823651,0.9142789103644589,-0.22091950674246508,-0.7247367427579858,P348,-0.1002360781509729,1395
68.73271637238123,85,0.8086201926162498,0.9033000922046429,-0.4292712989485268,-0.6212529852674752,P349,-1.4182476062032696,1396
88.52833216681304,85,1.0415097901978005,1.019220140839094,0.25235792203439944,0.2020551956037223,P350,0.3777159250921498,1397
67.87232606175074,85,0.7984979536676557,0.9575274700049743,-0.892767196144497,-0.33544701206009575,P351,0.035899254148795134,1398
52.58622953694159,85,0.6186615239640186,0.860762704531343,-1.1879626375863321,-0.9781910847580668,P352,-1.2549020405081006,1399
81.88986640233666,85,0.9634101929686667,1.0170359983850488,-0.020937578390403,0.17086372811998757,P353,-1.0214540646105466,1401
65.88000600954913,85,0.7750588942299899,0.9739003785211146,-0.8010696971395285,-0.16369955636744896,P354,-0.7987082262563147,1402
60.36160785918493,85,0.7101365630492344,0.7597490321603798,-1.3196720096496173,-2.194148603206557,P355,-0.3054498632077596,1403
82.84614962594362,85,0.9746605838346308,1.0514729481725102,-0.03874985956956985,0.47611340230070054,P356,-0.1002360781509729,1404
55.31071895889495,85,0.6507143406928818,0.8045950441270939,-1.551288948412465,-1.6939382518752013,P357,-0.513494403941061,1405
75.0661414221681,85,0.8831310755549189,0.9824213170099719,-0.3534279871750752,-0.09596190840739732,P358,-0.7987082262563147,1406
76.35201372981717,85,0.8982589850566727,0.9467601085245421,-0.2937369235265908,-0.3821222843624654,P359,-0.7987082262563147,1407
90.90627055800853,85,1.069485535976571,1.087968611643219,0.30446710354265605,0.6111415361954505,P360,-1.5027282261082497,1409
67.35403745803156,85,0.7924004406827242,0.920056998702559,-0.5115814324325101,-0.5154097640837899,P361,-1.3356996779743975,1410
92.627217338932,85,1.0897319686933176,0.9876325981627195,0.4373126569349948,-0.06238217980250158,P362,-0.513494403941061,1411
53.86162864913383,85,0.6336662194015744,0.7948207837548434,-1.5548208344717638,-1.7417892103736912,P363,-0.6547202848739024,1412
66.2176980428447,85,0.7790317416805259,0.8974588611045826,-0.9395568819639787,-0.8570248643573574,P364,-0.3743908698075638,1413
69.01924061699783,85,0.8119910660823274,0.964107398807153,-0.5897450039808947,-0.23130711265899442,P365,-0.946170805362101,1414
76.1765000405182,85,0.8961941181237436,0.9050786612354579,-0.36868724543133413,-0.7799803440025911,P366,-0.4437150472651974,1415
