rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
fashBoughtNew_r,0.7967667436489607,520.7486462249268,433,1.2026527626441728,1.0702508722747837,2.1072640800648768,1.0267989299461677,0.07448411828486756,NA,NA
fashClothingSwap_,0.006928406466512702,149.51992456965112,433,0.3453116040869541,0.942321074702387,-1.0644576060267141,0.08143081251928852,0.21607588812404138,NA,NA
fashFast_r,0.8383371824480369,506.9142554765083,433,1.1707026685369706,1.0492308177111245,1.488187923845134,0.6050517594424641,0.08967548060055731,NA,NA
fashMend_,0.12702078521939955,381.1969149131627,433,0.8803623900996829,0.9731150064161802,-0.8945114951086856,-0.2296822039277701,0.2401470420006529,NA,NA
fashOnlineReturn_r,0.9353348729792148,793.7995219921689,433,1.8332552470950785,1.0388570852815182,3.3020908311583277,0.29036397207822645,-0.0784745576399587,NA,NA
fashPutAside_,0.4618937644341801,404.7272167573682,433,0.9347048885851459,0.9390655084729529,-1.9882971963328473,-2.1949462687743027,0.37195641412778824,NA,NA
fashRepairable_,0.06235565819861432,301.9273444490432,433,0.6972917885659196,0.9297588944363026,-1.5337756784504817,-0.3777599498857773,0.3149650773746675,NA,NA
fashReturn_r,0.9122401847575058,774.1095801189487,433,1.7877819402285189,1.0745493282889154,3.7833504447804476,0.5915798871944419,-0.13315698701741488,NA,NA
fashShoppedSecondHand_,0.14549653579676675,404.3963111425239,433,0.9339406723845818,0.9907908333753481,-0.5231382605875232,-0.06879932739270232,0.23727947375292496,NA,NA
fashSustainable_,0.03464203233256351,308.32908155135834,433,0.7120764008114512,0.9277659068925082,-0.9831808506077656,-0.23571978419056472,0.2680469681895364,NA,NA
foodAlmondMilk_,0.22401847575057737,415.8577253014896,433,0.9604104510427012,0.980120900265872,-0.46023454530320995,-0.2927332525138905,0.29452746971431565,NA,NA
foodBeef_r,0.17551963048498845,463.06238161993366,433,1.0694281330714404,1.0208670085103797,0.6931892289831337,0.28712363738846947,0.16108953965472414,NA,NA
foodCowMilk_r,0.45958429561200925,454.5633762202785,433,1.0497999450814746,1.0517137387909392,1.4725253708847008,1.8042537740629794,0.20248034201078885,NA,NA
foodDistanceRefrain_,0.053117782909930716,375.965693346952,433,0.8682810469906512,0.9569099030898842,-0.5148639174348549,-0.17740000786649218,0.20415846983732702,NA,NA
foodEggs_r,0.24942263279445728,547.3880275099267,433,1.264175583163803,1.1405770167170994,3.339369624878097,2.3686189734186924,-0.0023374199180240356,NA,NA
foodForaged_V1_,0.13163972286374134,383.0460999802482,433,0.8846330253585408,0.9489299536374195,-0.8847963183350089,-0.48591983306836056,0.29186501821053845,NA,NA
foodGarden_,0.325635103926097,423.9689048905972,433,0.979142967414774,0.9899660483973807,-0.3776627502742078,-0.22370260408078227,0.2854523460070043,NA,NA
foodLocal_V1_,0.3856812933025404,361.81593922234805,433,0.8356026309984943,0.8652464057962985,-4.164963689995289,-4.1155197646621895,0.49214327642178024,NA,NA
foodMeatConventional_r,0.4896073903002309,604.3582203999129,433,1.3957464674362883,1.3396528594928336,10.876306204980033,11.235227368151405,-0.2658534853388718,NA,NA
foodMeatEveryDay_V1_r,0.4133949191685912,393.06689704612245,433,0.9077757437554791,0.9274290123790506,-2.5055424960679296,-2.3532802980820606,0.3907381435899013,NA,NA
foodMeatLocal_,0.24942263279445728,407.8061601709635,433,0.9418156124040727,0.979324288441546,-0.7823774732154467,-0.3447273015804162,0.2877762122409339,NA,NA
foodMeat_r,0.06235565819861432,406.24147832138584,433,0.9382020284558564,0.9985620033401081,-0.2274830065925887,0.04671356033710716,0.1449549933538771,NA,NA
foodMeatlessDinner_,0.7344110854503464,384.59742487361706,433,0.8882157618328339,0.9284341161659195,-1.6408474501298662,-1.3952778677579836,0.35215554527981646,NA,NA
foodMeatlessLunch_,0.8452655889145496,369.5588222817889,433,0.8534845780179882,0.9431075699012311,-1.2979112051769401,-0.6370499039997212,0.28434987482296675,NA,NA
foodNonDairyMilk_,0.3071593533487298,409.8669637196445,433,0.9465749739483706,0.9625302595576692,-0.9284143159067646,-0.8203474295560593,0.3471476357639178,NA,NA
foodOatMilk_,0.12471131639722864,371.92815375498895,433,0.858956475184732,0.95529070167168,-1.0559257468773007,-0.40092186525136636,0.29619456751563616,NA,NA
foodPoultry_r,0.08775981524249422,502.9005985079632,433,1.1614332529052267,1.023533662840847,0.9532589210795652,0.21957953281427822,0.06973302448410067,NA,NA
foodProduceConventional_r,0.21247113163972287,633.2518428019085,433,1.462475387533276,1.1835033806230602,4.705047871385528,2.607309914446968,-0.12482327884656254,NA,NA
foodProduceNoPest_,0.4064665127020785,360.85281621693383,433,0.8333783284455747,0.8599777446956548,-4.556534370476225,-4.571372312218781,0.49341274735311946,NA,NA
foodRestaurant_r,0.5334872979214781,491.97338947936936,433,1.136197204340345,1.123258558095361,3.9037130080763878,4.306079331950689,0.08104781399536053,NA,NA
foodSeafood_r,0.3787528868360277,592.0690444443298,433,1.3673649987166971,1.2810185417678845,7.713415557684375,7.382014704553243,-0.19838542732537146,NA,NA
foodSustainableAnimal_,0.4341801385681293,414.3325087726219,433,0.9568880110222215,0.954640695816941,-1.2199610064341986,-1.534529656729624,0.34354681651372093,NA,NA
foodTakeOut_r,0.4295612009237875,456.6076965091906,433,1.0545212390512484,1.0493315056798243,1.5007849940078641,1.6195873967951049,0.19279644689420664,NA,NA
foodThrownBadFood_r,0.2632794457274827,520.1946149866629,433,1.2013732447728935,1.1143136824318502,2.754733281214569,2.056989772041384,0.041382160093722614,NA,NA
foodThrownGoodFood_r,0.8290993071593533,385.71913723320677,433,0.89080632155475,0.9516389556147865,-1.0287451181832923,-0.5875111880740725,0.27051005256120664,NA,NA
foodTofu_V1_,0.16397228637413394,371.80648118098003,433,0.8586754761685451,0.9233950408905129,-1.3256575154204262,-0.9062384245895959,0.36179158919676446,NA,NA
homeElectricOff_,0.8937644341801386,372.8941987810701,433,0.8611875260532796,0.9706748611936162,-0.9102658452465628,-0.21579875057260461,0.20664430756578683,NA,NA
homeEnergySaverSetting_,0.5127020785219399,362.79851506645247,433,0.8378718592758717,0.857994182423773,-5.253993360836725,-5.47440091104819,0.4955123405635325,NA,NA
homeLightsLeftOn_V1_r,0.7066974595842956,408.268329637991,433,0.942882978378732,0.958995421288808,-0.9165013065253031,-0.8822874279669318,0.299025466906126,NA,NA
homeTvLeftOn_r,0.5311778290993071,438.64703598913343,433,1.0130416535545808,1.0011711263188812,0.4001478101040977,0.051711357010865155,0.25927840657684215,NA,NA
homeUnplug_,0.4064665127020785,419.6507923846577,433,0.9691704212116805,0.9722580287941375,-0.7920412466437592,-0.8614468157386664,0.3298082495731277,NA,NA
packAlumOverGlass_,0.18937644341801385,431.38202142960824,433,0.9962633289367396,1.0101693443578112,-0.006663353070595034,0.16095022903589376,0.21633122397214563,NA,NA
packCarriedTrash_V1_,0.36027713625866054,379.6433950493949,433,0.8767745844096879,0.8925649400113086,-2.777443507773757,-2.976497899890377,0.4401776719177425,NA,NA
packCarriedUtensils_V1_,0.5404157043879908,420.6949277218742,433,0.971581819219109,0.972825297070451,-0.8337029804007077,-0.977346803633935,0.2969467614973963,NA,NA
